num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
40,2,20,0.825,0.225,0.1,0.1,0.075,0.2833,0.0,0.025,0.0,0.025,0.025
106,6,18,0.7358,0.2547,0.1038,0.1415,0.0189,0.5885,0.0,0.0,0.0,0.0,0.0189
63,5,13,0.7778,0.1429,0.127,0.1905,0.0635,0.4402,0.0317,0.0,0.0,0.0,0.0317
58,4,14,0.7241,0.1207,0.1034,0.1207,0.069,0.3417,0.0172,0.0,0.0345,0.0,0.0
52,5,10,0.7692,0.1923,0.0769,0.0962,0.1346,0.51,0.0192,0.0,0.0192,0.0,0.0
62,5,12,0.8548,0.1452,0.0968,0.1613,0.0645,0.4098,0.0484,0.0,0.0,0.0,0.0161
52,5,10,0.8269,0.25,0.0385,0.1923,0.0385,0.1553,0.0192,0.0,0.0,0.0192,0.0
66,4,16,0.7727,0.197,0.0909,0.1667,0.0152,0.6429,0.0,0.0,0.0152,0.0,0.0303
48,4,12,0.8333,0.1667,0.1458,0.1042,0.0833,0.5622,0.0208,0.0,0.0,0.0,0.0208
63,5,13,0.8413,0.1587,0.127,0.2381,0.0635,0.425,0.0317,0.0,0.0,0.0159,0.0
43,4,11,0.814,0.2558,0.093,0.1163,0.0698,-0.0361,0.0,0.0,0.0,0.0,0.0
44,4,11,0.8864,0.2045,0.1136,0.1591,0.0682,0.3821,0.0,0.0,0.0,0.0,0.0
77,4,19,0.8052,0.1299,0.0909,0.0909,0.1169,0.3175,0.013,0.0,0.0,0.0,0.0519
56,5,11,0.8214,0.1071,0.1071,0.1964,0.0714,0.2742,0.0179,0.0,0.0,0.0,0.0536
71,6,12,0.7746,0.1972,0.0845,0.1831,0.0845,0.425,0.0282,0.0,0.0141,0.0141,0.0423
43,5,9,0.7907,0.1163,0.0698,0.2326,0.093,0.3803,0.0465,0.0,0.0,0.0,0.0233
42,5,8,0.881,0.1667,0.0238,0.2381,0.119,0.6575,0.0,0.0,0.0238,0.0,0.0
72,5,14,0.7083,0.1667,0.0833,0.1944,0.0694,0.3566,0.0139,0.0,0.0,0.0,0.0139
51,5,10,0.7255,0.1373,0.0784,0.098,0.098,0.3833,0.0196,0.0,0.0196,0.0,0.0
68,4,17,0.7353,0.25,0.1029,0.0882,0.0735,0.1181,0.0,0.0,0.0,0.0,0.0294
61,5,12,0.7869,0.2459,0.1148,0.1311,0.0328,0.3611,0.0164,0.0,0.0,0.0,0.0164
69,5,14,0.7681,0.2174,0.087,0.1739,0.029,0.4228,0.029,0.0,0.0,0.0145,0.0
70,4,18,0.8,0.1571,0.0714,0.1571,0.1,0.2434,0.0286,0.0,0.0,0.0,0.0286
53,4,13,0.7925,0.1698,0.1698,0.1321,0.0755,0.471,0.0,0.0,0.0,0.0,0.0566
44,4,11,0.8182,0.2045,0.1364,0.0909,0.0682,0.0333,0.0227,0.0,0.0,0.0,0.0
57,5,11,0.7895,0.2281,0.0702,0.2105,0.0702,0.3458,0.0351,0.0,0.0,0.0,0.0175
76,4,19,0.75,0.2368,0.1579,0.1053,0.0263,0.316,0.0132,0.0,0.0,0.0,0.0658
66,4,16,0.7576,0.2424,0.0455,0.1818,0.0455,0.3,0.0152,0.0,0.0152,0.0,0.0
57,5,11,0.7719,0.2105,0.0526,0.1404,0.0526,0.1248,0.0,0.0,0.0,0.0,0.0351
65,4,16,0.6769,0.1692,0.1077,0.1077,0.0308,0.2619,0.0154,0.0,0.0308,0.0,0.0
68,5,14,0.7794,0.2059,0.0882,0.1765,0.0294,0.2296,0.0,0.0,0.0,0.0,0.0294
61,6,10,0.8689,0.1803,0.0984,0.2131,0.0656,0.4173,0.0328,0.0,0.0,0.0,0.0
55,4,14,0.8,0.2182,0.1273,0.1455,0.0182,0.1532,0.0364,0.0,0.0182,0.0,0.0
54,5,11,0.8519,0.2222,0.0556,0.1111,0.0741,0.5021,0.0,0.0,0.0,0.0,0.0
59,5,12,0.7966,0.2542,0.0508,0.1864,0.0339,0.4273,0.0169,0.0,0.0,0.0,0.0
48,5,10,0.8125,0.2708,0.0417,0.1667,0.0417,0.4544,0.0208,0.0,0.0,0.0,0.0208
80,5,16,0.7375,0.2375,0.1375,0.075,0.05,0.63,0.0125,0.0,0.0125,0.0,0.0375
65,5,13,0.7846,0.1538,0.0923,0.1385,0.0615,0.3883,0.0462,0.0,0.0,0.0,0.0
57,4,14,0.7895,0.1754,0.1053,0.1228,0.0877,0.2288,0.0351,0.0,0.0,0.0175,0.0351
56,6,9,0.7857,0.125,0.0893,0.1786,0.0536,0.2758,0.0179,0.0,0.0,0.0,0.0357
82,5,16,0.7195,0.1829,0.061,0.1463,0.0488,0.1052,0.0,0.0,0.0,0.0,0.0122
64,4,16,0.7969,0.1719,0.0937,0.0781,0.0625,0.1883,0.0312,0.0,0.0156,0.0,0.0156
53,5,11,0.8113,0.1509,0.0943,0.1887,0.1321,0.1556,0.0189,0.0,0.0377,0.0,0.0
81,6,14,0.7654,0.2222,0.0864,0.1111,0.037,0.483,0.0123,0.0,0.0,0.0,0.0247
62,5,12,0.8065,0.1613,0.129,0.0968,0.0806,0.5139,0.0161,0.0,0.0,0.0,0.0
55,5,11,0.8,0.2,0.1273,0.1091,0.0545,0.6214,0.0364,0.0,0.0,0.0,0.0
60,5,12,0.85,0.1667,0.1167,0.15,0.05,0.4203,0.0167,0.0,0.0,0.0,0.0167
53,5,11,0.8302,0.1887,0.1132,0.1509,0.1321,0.1394,0.0377,0.0,0.0,0.0,0.0
57,5,11,0.807,0.1754,0.0877,0.1228,0.0351,0.4315,0.0,0.0,0.0,0.0,0.0351
55,5,11,0.8182,0.1636,0.1091,0.1091,0.1091,0.3,0.0,0.0,0.0,0.0,0.0182
56,5,11,0.8036,0.2143,0.0893,0.1429,0.0893,0.4964,0.0179,0.0,0.0,0.0,0.0
57,5,11,0.8421,0.1404,0.0526,0.2105,0.1053,0.3167,0.0175,0.0,0.0,0.0,0.0
63,4,16,0.7619,0.254,0.0635,0.1429,0.0,0.5889,0.0,0.0,0.0,0.0,0.0
86,7,12,0.686,0.2209,0.1279,0.093,0.0814,0.1109,0.0116,0.0,0.0116,0.0,0.0233
44,5,9,0.8409,0.1364,0.1591,0.2045,0.0455,0.4962,0.0227,0.0,0.0,0.0,0.0227
