num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
98,3,33,0.6122,0.2143,0.0918,0.051,0.0408,0.0857,0.0102,0.0102,0.0102,0.0,0.0204
117,5,23,0.5983,0.2222,0.1282,0.0855,0.0427,0.223,0.0,0.0,0.0085,0.0,0.0513
113,6,19,0.6549,0.2124,0.0973,0.0442,0.0442,0.2583,0.0,0.0,0.0177,0.0,0.0265
87,6,14,0.6897,0.2184,0.069,0.046,0.023,-0.1667,0.0115,0.0115,0.0,0.0,0.023
105,6,18,0.6857,0.1619,0.0857,0.1143,0.0476,0.2936,0.019,0.0095,0.0095,0.0,0.0571
107,5,21,0.6729,0.1963,0.0654,0.0935,0.0467,0.6142,0.0093,0.0093,0.0093,0.0,0.028
103,5,21,0.6796,0.2136,0.068,0.0874,0.0583,0.425,0.0097,0.0,0.0,0.0,0.0194
112,6,19,0.6786,0.2411,0.0982,0.1161,0.0357,0.35,0.0089,0.0,0.0089,0.0,0.0179
96,6,16,0.6667,0.2083,0.1667,0.0625,0.0312,0.2417,0.0,0.0,0.0,0.0,0.0312
85,3,28,0.7059,0.1882,0.0706,0.0471,0.0,0.3467,0.0,0.0,0.0,0.0,0.0235
110,4,28,0.6727,0.2,0.0818,0.1091,0.0273,0.2007,0.0091,0.0091,0.0091,0.0,0.0364
88,5,18,0.625,0.2614,0.0909,0.0568,0.0,0.2063,0.0114,0.0,0.0,0.0,0.0227
84,4,21,0.75,0.2381,0.119,0.0833,0.0119,0.2159,0.0119,0.0119,0.0,0.0,0.0238
109,5,22,0.7064,0.1927,0.1468,0.1101,0.0734,0.1,0.0,0.0,0.0092,0.0,0.0275
105,6,18,0.6952,0.2,0.0571,0.1238,0.0571,0.4572,0.0095,0.0,0.0,0.0,0.019
106,7,15,0.6792,0.2736,0.0755,0.1132,0.0283,0.3295,0.0,0.0,0.0,0.0,0.0189
86,5,17,0.6512,0.2558,0.0814,0.0581,0.0116,0.5312,0.0,0.0,0.0,0.0,0.0116
100,5,20,0.61,0.2,0.1,0.09,0.05,0.227,0.01,0.01,0.01,0.0,0.06
104,6,17,0.6923,0.2115,0.0769,0.125,0.0577,0.3418,0.0096,0.0,0.0,0.0,0.0192
93,3,31,0.7097,0.1828,0.1505,0.0538,0.043,0.2212,0.0,0.0,0.0215,0.0,0.0538
110,7,16,0.7273,0.2091,0.1364,0.0727,0.0182,0.3472,0.0182,0.0,0.0091,0.0,0.0545
92,10,9,0.6957,0.2283,0.0652,0.0652,0.0109,0.3667,0.0,0.0,0.0109,0.0,0.0
108,5,22,0.7037,0.1944,0.0648,0.0926,0.037,0.4633,0.0093,0.0,0.0,0.0,0.0093
96,7,14,0.5208,0.1979,0.0729,0.0104,0.0,0.3417,0.0,0.0,0.0,0.0,0.0104
107,7,15,0.6355,0.1682,0.0748,0.0467,0.0467,0.3304,0.0,0.0,0.0,0.0,0.0187
112,6,19,0.6696,0.1607,0.1161,0.1071,0.0625,0.0143,0.0,0.0,0.0,0.0,0.0714
81,4,20,0.6296,0.1111,0.1111,0.0741,0.037,0.3333,0.0123,0.0,0.0,0.0,0.037
92,8,12,0.6739,0.2609,0.1087,0.0652,0.0435,0.3669,0.0,0.0,0.0,0.0,0.0109
107,5,21,0.6542,0.1869,0.0935,0.1215,0.0467,0.4972,0.0187,0.0,0.0187,0.0,0.0187
89,4,22,0.6742,0.1685,0.0674,0.1011,0.0674,0.2076,0.0112,0.0,0.0449,0.0,0.0112
103,5,21,0.7379,0.165,0.0971,0.1165,0.068,0.3359,0.0,0.0,0.0,0.0,0.0194
109,5,22,0.7156,0.1835,0.1101,0.1009,0.055,0.4235,0.0092,0.0,0.0092,0.0,0.0183
102,5,20,0.6176,0.2255,0.0294,0.1176,0.0098,0.3656,0.0,0.0,0.0098,0.0,0.0196
97,6,16,0.7526,0.2371,0.0928,0.0928,0.0722,0.2005,0.0412,0.0309,0.0103,0.0,0.0309
106,8,13,0.6509,0.1887,0.1038,0.0943,0.0755,0.2979,0.0189,0.0,0.0189,0.0,0.0
101,3,34,0.5248,0.1485,0.099,0.0792,0.0198,-0.028,0.0,0.0,0.0,0.0297,0.0198
107,6,18,0.6542,0.1869,0.0841,0.0841,0.0374,0.4544,0.0,0.0,0.0,0.0,0.028
108,5,22,0.5463,0.2222,0.1852,0.0556,0.0463,0.1469,0.0,0.0,0.0,0.0,0.0278
104,6,17,0.7115,0.2596,0.0962,0.1058,0.0288,0.1653,0.0,0.0,0.0,0.0,0.0
110,6,18,0.6636,0.2182,0.1091,0.0727,0.0545,-0.0391,0.0091,0.0,0.0091,0.0,0.0273
106,6,18,0.7075,0.2264,0.1132,0.0566,0.0472,0.1542,0.0,0.0,0.0,0.0,0.0283
101,5,20,0.604,0.2475,0.0594,0.0594,0.0198,0.6014,0.0099,0.0099,0.0,0.0,0.0396
90,4,22,0.5889,0.1444,0.1,0.0667,0.0111,0.3123,0.0,0.0,0.0,0.0,0.0222
112,7,16,0.7054,0.2054,0.125,0.0714,0.0446,0.7208,0.0179,0.0089,0.0,0.0089,0.0357
108,6,18,0.7222,0.1574,0.1204,0.0926,0.0833,0.3182,0.0093,0.0,0.0,0.0,0.0185
110,7,16,0.6818,0.1909,0.1364,0.0818,0.0545,0.4944,0.0091,0.0091,0.0,0.0,0.0364
100,5,20,0.72,0.25,0.08,0.1,0.04,0.3145,0.01,0.0,0.0,0.0,0.01
110,7,16,0.7091,0.2182,0.0909,0.1091,0.0273,0.4389,0.0,0.0,0.0,0.0,0.0182
56,4,14,0.5536,0.1964,0.1607,0.0,0.0357,0.325,0.0,0.0,0.0,0.0,0.0357
108,5,22,0.6944,0.2315,0.0833,0.1389,0.0463,0.2758,0.0,0.0,0.0093,0.0,0.0185
104,7,15,0.6058,0.2115,0.1058,0.0577,0.0096,0.1688,0.0096,0.0,0.0096,0.0,0.0096
102,5,20,0.5294,0.0882,0.0882,0.0294,0.0098,0.2,0.0196,0.0,0.0294,0.0,0.0294
90,5,18,0.6556,0.2111,0.1222,0.0556,0.0111,0.131,0.0,0.0,0.0111,0.0,0.0
106,7,15,0.6604,0.1604,0.1038,0.0566,0.0566,-0.3861,0.0,0.0,0.0,0.0,0.0283
91,9,10,0.6703,0.1538,0.1538,0.0659,0.022,0.226,0.011,0.011,0.0,0.0,0.022
91,4,23,0.6374,0.1868,0.1099,0.0549,0.033,-0.0083,0.022,0.011,0.0,0.0,0.022
87,4,22,0.7356,0.1839,0.092,0.0345,0.069,0.154,0.023,0.0115,0.0,0.0,0.046
111,6,18,0.6847,0.1982,0.0901,0.1261,0.027,0.4167,0.009,0.009,0.0,0.0,0.027
100,6,17,0.63,0.18,0.13,0.04,0.03,-0.0448,0.0,0.0,0.0,0.0,0.03
103,6,17,0.6117,0.2816,0.0874,0.1165,0.0194,0.2154,0.0,0.0,0.0,0.0,0.0
85,5,17,0.7647,0.3059,0.0706,0.0941,0.0118,0.5733,0.0118,0.0118,0.0,0.0,0.0235
87,2,44,0.6322,0.2529,0.092,0.1034,0.069,0.4483,0.0,0.0,0.0,0.0,0.0115
107,5,21,0.7009,0.2243,0.0654,0.1121,0.028,0.1167,0.0,0.0,0.0,0.0093,0.0093
48,4,12,0.6458,0.1875,0.2083,0.0208,0.0417,0.5,0.0208,0.0208,0.0,0.0,0.0625
108,6,18,0.6944,0.2037,0.0741,0.1296,0.037,0.3258,0.0,0.0,0.0,0.0,0.0278
83,5,17,0.6988,0.2289,0.0843,0.0482,0.0,0.1108,0.012,0.0,0.0,0.0,0.012
90,6,15,0.5778,0.1,0.0778,0.0444,0.0333,0.3333,0.0,0.0,0.0,0.0,0.0111
100,6,17,0.65,0.22,0.1,0.07,0.03,0.5321,0.0,0.0,0.0,0.0,0.02
101,4,25,0.7327,0.198,0.099,0.0792,0.0297,0.3626,0.0297,0.0198,0.0099,0.0,0.0396
110,6,18,0.7,0.2364,0.1091,0.0636,0.0364,0.1672,0.0,0.0,0.0,0.0,0.0273
105,5,21,0.6381,0.1905,0.1048,0.0381,0.0286,0.375,0.0095,0.0,0.0095,0.0,0.0286
109,4,27,0.6606,0.1927,0.1376,0.0826,0.0275,0.3625,0.0092,0.0,0.0183,0.0092,0.0
52,4,13,0.5769,0.2308,0.1538,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,0.0
106,5,21,0.6981,0.1887,0.1038,0.1038,0.0755,0.4227,0.0094,0.0,0.0189,0.0,0.0283
104,6,17,0.7308,0.2115,0.1058,0.0769,0.0288,0.2824,0.0,0.0,0.0,0.0,0.0192
100,7,14,0.62,0.22,0.12,0.08,0.01,0.2263,0.01,0.0,0.0,0.0,0.0
99,6,16,0.7172,0.202,0.1111,0.0909,0.0303,0.1268,0.0,0.0,0.0,0.0,0.0505
111,6,18,0.7207,0.2432,0.0811,0.1351,0.036,0.4104,0.0,0.0,0.0,0.0,0.027
93,6,16,0.6774,0.2151,0.0538,0.0968,0.0323,0.5708,0.0,0.0,0.0108,0.0,0.0215
95,6,16,0.6526,0.3579,0.0632,0.1053,0.0211,0.2657,0.0,0.0,0.0,0.0,0.0105
